TrackID,TrackState,Filtered,timestamp,xPos,xSpeed,yPos,ySpeed,Sensor
2,CONFIRMED,1,17:38:30334,3277830.12652,-12.3056219566,Radar
2,CONFIRMED,0,17:38:30334,3277831.2967,-12.3,Radar
1,ZOMBIE,1,17:38:30518.0,3277690.64849,-7.06438850236,Radar
1,ZOMBIE,0,17:38:30518.0,NaN,NaN,Radar
2,CONFIRMED,1,17:38:30552,3277828.07111,-12.2936071386,Radar
2,CONFIRMED,0,17:38:30552,3277828.8647,-12.3,Radar
1,ZOMBIE,1,17:38:30718.0,3277689.24277,-6.99279985972,Radar
1,ZOMBIE,0,17:38:30718.0,NaN,NaN,Radar
2,CONFIRMED,1,17:38:30737,3277825.66435,-12.2972535559,Radar
2,CONFIRMED,0,17:38:30737,3277826.3687,-12.3,Radar
0,ZOMBIE,1,17:38:30884.0,3277746.74315,-12.1686907074,Radar
0,ZOMBIE,0,17:38:30884.0,NaN,NaN,Radar
1,ZOMBIE,1,17:38:30918.0,3277687.84901,-6.94481957058,Radar
1,ZOMBIE,0,17:38:30918.0,NaN,NaN,Radar
2,CONFIRMED,1,17:38:30940,3277823.32887,-12.3711974029,Radar
2,CONFIRMED,0,17:38:30940,3277823.9367,-12.4,Radar
0,ZOMBIE,1,17:38:31084.0,3277744.30436,-12.2192390047,Radar
0,ZOMBIE,0,17:38:31084.0,NaN,NaN,Radar
1,ZOMBIE,1,17:38:31118.0,3277686.47072,-6.83808922226,Radar
1,ZOMBIE,0,17:38:31118.0,NaN,NaN,Radar
2,CONFIRMED,1,17:38:31146,3277820.85441,-12.3761056959,Radar
2,CONFIRMED,0,17:38:31146,3277821.4407,-12.4,Radar
0,ZOMBIE,1,17:38:31284.0,3277741.85751,-12.2492953746,Radar
0,ZOMBIE,0,17:38:31284.0,NaN,NaN,Radar
1,ZOMBIE,1,17:38:31318.0,3277685.09632,-6.90593955883,Radar
1,ZOMBIE,0,17:38:31318.0,NaN,NaN,Radar
2,CONFIRMED,1,17:38:31351,3277818.49632,-12.3894628659,Radar
2,CONFIRMED,0,17:38:31351,3277818.9447,-12.4,Radar
0,ZOMBIE,1,17:38:31484.0,3277739.40886,-12.2371872971,Radar
0,ZOMBIE,0,17:38:31484.0,NaN,NaN,Radar
2,CONFIRMED,1,17:38:31546,3277816.23903,-12.3932106634,Radar
2,CONFIRMED,0,17:38:31546,3277816.3847,-12.4,Radar
0,ZOMBIE,1,17:38:31684.0,3277736.95429,-12.3084451491,Radar
